sample_name;tissue;genotype;run
WT_1;Soleus;WT;WT_1
WT_3;Soleus;WT;WT_3
WT_5;Soleus;WT;WT_5
WT_9;Soleus;WT;WT_9
WT_11;Soleus;WT;WT_11
WT_15;Soleus;WT;WT_15
KO_2;Soleus;KO;KO_2
KO_4;Soleus;KO;KO_4
KO_6;Soleus;KO;KO_6
KO_8;Soleus;KO;KO_8
KO_10;Soleus;KO;KO_10
KO_16;Soleus;KO;KO_16
